epoch,main_activation,layer1_block0_activation1,layer1_block0_activation2,layer1_block1_activation1,layer1_block1_activation2,layer2_block0_activation1,layer2_block0_activation2,layer2_block1_activation1,layer2_block1_activation2,layer3_block0_activation1,layer3_block0_activation2,layer3_block1_activation1,layer3_block1_activation2,layer4_block0_activation1,layer4_block0_activation2,layer4_block1_activation1,layer4_block1_activation2,total_time
1,0.04228153199433012,0.03679387229395674,0.037636289254147956,0.037165208555203166,0.0366164425942809,0.03371131919482921,0.03401361709024678,0.031464374533041996,0.031087931943066575,0.028328170187454274,0.02630992341945146,0.024515744679151696,0.024255455309089194,0.023058383000340868,0.025295114859027114,0.025884187249268623,0.026494025550980835,0.5249115917078675
2,0.04098437460179025,0.03429678303605699,0.03378689353294829,0.0327874723584094,0.031167659536004068,0.03027948936487132,0.031203880759471274,0.030901923411070033,0.029890723478920918,0.02748146385568729,0.02631080840575568,0.023518297872803313,0.02465702125089283,0.022842280857978348,0.02457497877247156,0.02461371924034617,0.027460765925810694,0.4967585362612884
3,0.036642314838443664,0.03138614466532748,0.030282144735943765,0.027046468098984755,0.0274542297850898,0.026520102152085685,0.028175523393648736,0.027045038277085157,0.02653344684538055,0.02352878294805897,0.025979097912761758,0.02295496171102562,0.02527822983906941,0.02176694465067951,0.025295319050510832,0.02427867227333023,0.027245889377205613,0.4574133105546315
4,0.04349385531658822,0.037000714872587236,0.03668268938013848,0.03414277451984743,0.03423666398417442,0.032840714956376145,0.031057157434840152,0.03212684251843615,0.028767659618182385,0.027873702182810992,0.03243669773194384,0.026985804257082177,0.02655530209514372,0.023532799951375482,0.023425702121544708,0.023210416985873845,0.025374297866042943,0.5197437957929884
5,0.04060548085402301,0.033025497832196826,0.03088885107018212,0.029410382875419677,0.02935775319471004,0.028865906457476158,0.029305191512437576,0.028407693579000363,0.031271693570182675,0.02696401705133154,0.027565889395377102,0.024279761712681106,0.027686808484190324,0.025397923397534387,0.026940868167761475,0.027165685073928313,0.028648646916956344,0.49578805114538904
6,0.0392974298209586,0.029713021254444374,0.032994655388942425,0.02748248510934571,0.02775652764087662,0.028365276623120966,0.028806672344340922,0.028004153175873958,0.028664919131613793,0.026906893610399454,0.0293431148289683,0.027814195758881086,0.02882716599059232,0.028402927643718556,0.027573174458155606,0.02729593190423986,0.029350944687711433,0.496599489372184
7,0.043652902131384994,0.03920374467889679,0.03794171914775321,0.036740833988532104,0.03596847656559437,0.033244527630666466,0.03517460420410684,0.03402042554176234,0.032199489321321884,0.029820731973790742,0.030521531922227525,0.02513579573046337,0.025254672428870455,0.023198161746791384,0.024421719160485775,0.024087217081575952,0.025996936143356117,0.5365834893975803
8,0.034743489404308034,0.02828527660445964,0.02568354037927186,0.02459043404285578,0.02433198305599867,0.024657021296468188,0.0249413446939372,0.024986961713813722,0.023913123391251616,0.02310611061514058,0.024607319206474944,0.02296735322142535,0.024364391480513076,0.022280238303256795,0.023349719144839874,0.022209157415249564,0.02360898722260398,0.42262645119186887
9,0.03502549786675484,0.02982747230203228,0.027163438296857034,0.026481770236599953,0.02604357446841103,0.026708970262490687,0.025745157485312604,0.026094025543871077,0.025556697874785737,0.024131540446839433,0.025966434045992,0.023982638304934224,0.025150570170359408,0.022659063833626977,0.025477719165265877,0.024160272354616763,0.0250662127767313,0.4452410554354812
10,0.03649497876696764,0.03062890205294528,0.030277310605061815,0.027837208519749183,0.027229617024831315,0.02767632342082389,0.027520204303746527,0.027768578784579927,0.02681116596498388,0.02393082553481168,0.025228459590134467,0.02274621272301103,0.02341092766282406,0.021856340457824,0.02307091069784253,0.021624034058619686,0.023069140418095792,0.4471811405868527
11,0.03328680847077928,0.03010798295206846,0.0279571745386149,0.025806434040373943,0.026519489403259246,0.026969872331841196,0.026366570211471395,0.026038604261393244,0.025320782984032276,0.02436677446747397,0.024961089362647938,0.024668187204193563,0.024883199970614403,0.02192340426028092,0.02279829786832821,0.02184932764044943,0.024220255318474264,0.43804425528629665
12,0.03716827231122458,0.0312958637569496,0.031424136099187615,0.027896783037230054,0.027700697848612958,0.027516323407279684,0.02724432338108408,0.027633906373793773,0.026714553180685705,0.024960476681193774,0.026730893603823285,0.024288953178899085,0.025458178752438818,0.024929702168013504,0.025898008540946437,0.02522859576931025,0.02710713188540428,0.4691967999760775
13,0.03338403396229161,0.029674961639845624,0.028337429832429328,0.025852187187906276,0.02622862975014017,0.026815659556775652,0.02607850213634207,0.02536599146638145,0.025158740445337398,0.025090382985295135,0.02638325107065921,0.02591877440386947,0.026250212778277854,0.022368408467105413,0.02600844252874401,0.022893480886209835,0.024661582990727845,0.44647067208833835
14,0.046669412638120196,0.04010539582752167,0.040856510777264196,0.038526910539478695,0.03668779575047975,0.03623434890537186,0.03550631482391915,0.033433191430695515,0.033070366009277236,0.03003227234164134,0.028709855299205223,0.0258310808037269,0.025240034031424118,0.023337531897259203,0.023732766009708667,0.023034961744548475,0.0286126978081116,0.5496214466377538
15,0.033565072279344216,0.027976442548505804,0.025462331955737254,0.024579744643353402,0.024252527702520503,0.024559046827415203,0.025422229792209382,0.02573555744788114,0.023468119195325578,0.02302045957086251,0.024642519165385277,0.02263128512360631,0.024392919107637506,0.022079795727783694,0.02315601700956517,0.02205065534192514,0.0231634383545594,0.4201581617936175
16,0.037187268061840785,0.03148983833875428,0.02933392346380873,0.02815986387827929,0.027607012797701867,0.027657327654355385,0.028182263854653278,0.026898587197857968,0.025828561638580994,0.023263523386830978,0.026244834037695793,0.024242246854416234,0.025179302141545935,0.023708936126228975,0.02684915747414244,0.025088204298802513,0.02580799998299397,0.4627288511884894
17,0.033804187345060896,0.028721974425493402,0.026738859582296076,0.02484541275796104,0.02501542129098101,0.024962110647020187,0.025761361685680582,0.025523744693937454,0.024259200002601806,0.02251996594936924,0.02466233196727773,0.022830502124146577,0.024507642588875396,0.023740595778291847,0.024409327625316824,0.022467268100800984,0.024060731878543788,0.4288306384436548
18,0.038560068187244396,0.034423829773639114,0.032129838285928074,0.03006692763735005,0.03163431490117565,0.031872136272648545,0.03089191495104039,0.028624816964122845,0.02982999160885811,0.02780520850198066,0.028150536236848604,0.025266655314555193,0.025879421257513,0.023326434014721755,0.02336183830283265,0.021279455361729288,0.022220663817480522,0.48532405138966883
19,0.03415761704536829,0.027657123433148606,0.02557637446579781,0.02373405958506021,0.024126365978984123,0.024035608495010973,0.02374236596391556,0.024264919167344873,0.02415366808467723,0.022216442560261868,0.02425157451169922,0.023456272332275166,0.0245785191021067,0.024294331891739622,0.02636834038916896,0.02504102134720442,0.02759571060280692,0.42925031495657057
20,0.0349830808236878,0.028719455261338265,0.028308289367309277,0.025619676633876688,0.026046570247792184,0.025867914903829708,0.02607353190950891,0.02493868941797855,0.023970587218695497,0.024049702142068047,0.025270195713544146,0.024281123365731315,0.023831148905322907,0.020766502139257625,0.022378893570102594,0.020689974546908064,0.021426995717821286,0.4272223318847729
21,0.03679666387194649,0.03012616171878069,0.02863448517436677,0.026595131969673835,0.02635710640869876,0.026756561761523814,0.026727625541388987,0.02615196594691023,0.026142297847632397,0.024228153248971446,0.024813140405619397,0.023534297883669113,0.024061957441587397,0.02248129358594405,0.02350468082908303,0.02211962552899693,0.024583829736257803,0.4436149789010511
