epoch,main_activation,layer1_block0_activation1,layer1_block0_activation2,layer1_block1_activation1,layer1_block1_activation2,layer2_block0_activation1,layer2_block0_activation2,layer2_block1_activation1,layer2_block1_activation2,layer3_block0_activation1,layer3_block0_activation2,layer3_block1_activation1,layer3_block1_activation2,layer4_block0_activation1,layer4_block0_activation2,layer4_block1_activation1,layer4_block1_activation2,total_time
1,0.033276868100337524,0.025449872345841947,0.02514212772329437,0.02696851074220018,0.024413617022652576,0.02363009365632179,0.022404017061629193,0.022045549005270004,0.023039251058659654,0.02296966807718607,0.022360919142498614,0.021979097913990314,0.020902263809074745,0.02029460426717204,0.019952408533464087,0.018909889376385415,0.03269085999915099,0.4064296178351295
2,0.03646386381476483,0.02968558297353856,0.02892139572650194,0.026123438276191974,0.02530525955866943,0.025437140480635015,0.027005617011417734,0.025607829751010905,0.02630958310229347,0.023274893609886157,0.022782502154958376,0.022844799920084313,0.021047965974170475,0.021414127681364723,0.019457429797051753,0.018254502095836907,0.020236459646889186,0.42017239157526576
3,0.03467349783378713,0.025186791481014263,0.025345361668695793,0.02250008510544579,0.023443200009221093,0.021161123432536073,0.02196078304439149,0.02472149783626516,0.02066723403937005,0.018845548964244254,0.02019404257112678,0.019201497864374455,0.01952585525850349,0.018632442619096724,0.020011914862280197,0.018980902154989383,0.01969688507589571,0.37474866382123784
4,0.03147111493063734,0.023754621261453376,0.022967012785375118,0.020101991521709776,0.020852765914528292,0.020653276573470297,0.020402995778366607,0.02383176167198318,0.02090171911218699,0.019150502143546622,0.0205264340174642,0.018974570226558345,0.01931656171825338,0.0186606978749896,0.01963349790213273,0.018720340432519925,0.018377804251863285,0.35829766811703906
5,0.03362975319887095,0.02725106378660557,0.02946097018157548,0.025428357395402928,0.025709685108604583,0.024528748946304017,0.023169429746872566,0.025110672323152106,0.023896714874563064,0.022379097873543172,0.021549617019581035,0.021705940468831265,0.01996534469913929,0.01947308937781193,0.01891622126716724,0.01845644262540055,0.018602757466005836,0.39923390635943157
6,0.032581650988852726,0.023219268115118465,0.02217879149507969,0.019982570267104087,0.020614263807681013,0.020225974481473577,0.02001341277773076,0.02187737870882166,0.020344578692729168,0.019392748951832666,0.021555880914897994,0.019845446807510676,0.021550638333676344,0.020507234064465824,0.022455625488680412,0.022708289380720323,0.023584408517134316,0.37263816179350967
7,0.033116595668995635,0.024149923407016917,0.02315424679917224,0.021958604322231196,0.02293440000689093,0.022386519178906654,0.021458178782399664,0.022826417016380645,0.021228663845265165,0.019887659540201757,0.021825906364841663,0.02104156595714232,0.020574297874848893,0.02036725104330702,0.020175182950147922,0.020115948962840313,0.020801702063491054,0.37800306378408
8,0.03312531061311986,0.024699097911411144,0.02364384678212252,0.021601089367524105,0.022221072337174037,0.021343046842895924,0.022130587233349364,0.022946314838655453,0.021500936237738487,0.02001191486822481,0.020823012795695598,0.02048497023060918,0.020595608556524238,0.0206131744961393,0.020698621307321367,0.01960660428938238,0.020047659558699804,0.37609286826658755
9,0.03430202553009099,0.02707662979101247,0.026567489344705927,0.024682893647633968,0.02371492758789595,0.02309623831050827,0.023583863798449647,0.023098076543116824,0.021306417046233695,0.020161021342302892,0.020738314932331126,0.02002246810836678,0.02048605954908627,0.01909358300308281,0.019059404286932438,0.019064034031149237,0.01966114049638681,0.3857145873492861
10,0.03328374462162561,0.025740595726652982,0.023766195702743024,0.021718468140572943,0.022460255302251018,0.02150897024238997,0.0221760681057547,0.023130212799507253,0.020793600023743954,0.01940622980448794,0.02177143831083432,0.020214536179728966,0.021142876621811312,0.019160987281220707,0.01883002553194603,0.018899063884894898,0.018656885150344447,0.37266015343051007
