epoch,main_activation,layer1_block0_activation1,layer1_block0_activation2,layer1_block1_activation1,layer1_block1_activation2,layer2_block0_activation1,layer2_block0_activation2,layer2_block1_activation1,layer2_block1_activation2,layer3_block0_activation1,layer3_block0_activation2,layer3_block1_activation1,layer3_block1_activation2,layer4_block0_activation1,layer4_block0_activation2,layer4_block1_activation1,layer4_block1_activation2,total_time
1,0.0368640679786814,0.024178383037685713,0.022520306405234843,0.01819097870227663,0.01912102130974861,0.020750025484433516,0.021775387227535248,0.019504885087186036,0.020092595743134302,0.018740970217325587,0.01878399995175448,0.01828827238839833,0.018814570231838745,0.020035472369574484,0.02022168511534704,0.019771370205513023,0.02280285957447709,0.3604568510301451
2,0.04171662952037568,0.030447727727129104,0.02713967665554361,0.021996255326976483,0.022689702149797628,0.021896034041221472,0.02289436599239707,0.022939370270382533,0.02207462128370683,0.020195472335561793,0.02174277439455878,0.02241266375467023,0.023267744755015727,0.022032272334686142,0.022741242476362496,0.02296449363608151,0.0224316594904249,0.411582706144892
3,0.03898954880919228,0.026809940433644867,0.02759986383483765,0.020930178744837324,0.02393708940535942,0.024344442554927886,0.024600851060228145,0.02271775318646526,0.023239080863509405,0.02152503828537908,0.024381753203875207,0.022530178680144092,0.023653106313159176,0.024704136157983003,0.023427063907357923,0.02528687657966734,0.024714076584403184,0.42339097860497127
4,0.04098839136831304,0.029899642523378133,0.02761920001952255,0.0243893787641316,0.023055999922229255,0.0241203744935387,0.023661616979602805,0.023206400080643435,0.02195165962218604,0.02246127655690021,0.022837582989496754,0.02252806808423013,0.022673293588524487,0.022848068099429315,0.02462025527901789,0.02283104678536666,0.02374897026506431,0.4234412254215753
5,0.04140534472671595,0.02995322550983822,0.027228051124814343,0.022832612730958993,0.023333038254938227,0.023508153236570194,0.02416354040516184,0.022778825507439832,0.02399237443633536,0.022981719123794042,0.023755097801380968,0.022800953243363727,0.021959829721797972,0.02152510639527773,0.022396255343498542,0.023441770164533814,0.024580425525856937,0.4226363232522767
6,0.040517378483522444,0.027956153299818015,0.027251676636490415,0.020959182985206232,0.02379635747006916,0.02355567664502466,0.02315615315901789,0.02301984684086068,0.02257797448757164,0.022190161732996396,0.024038127676009182,0.022602621240026138,0.02429603400065544,0.023110740451498867,0.025366399985579574,0.023687489359500876,0.024004425514647935,0.42208639996849556
7,0.07439720820477035,0.04501249365746341,0.0417226212336979,0.04638461315053258,0.03739247656367878,0.03860125955035712,0.03675322555243335,0.03438706374231805,0.03466171915940148,0.03177266390796037,0.03227104672845057,0.06304449370091265,0.03084105525482842,0.030965855217320804,0.03224326789904227,0.04136204224357263,0.03470331905112463,0.6865164248178653
8,0.05531519985103861,0.04055925113485848,0.0380947064053505,0.037354757494114814,0.037038706369856574,0.035117344633537405,0.035297429827141,0.03189548936058232,0.03257048516435192,0.033550910568459234,0.03434335313578869,0.032485378727792426,0.033673940480072447,0.035798672432119545,0.031437480900476274,0.03155022967666229,0.030276085100473558,0.6063594212626761
9,0.062486263634042534,0.04619778740675525,0.04645582966189435,0.039566978550654774,0.03812704684331696,0.03624013616366589,0.03420779578229214,0.03500085103702038,0.03220459570751545,0.030324902153633378,0.031872680814976385,0.028904034098253605,0.031951046711269845,0.029904136214246774,0.030625497930227442,0.02979165953881246,0.03003697015265835,0.613898212401236
10,0.05795492787865248,0.04355758286695531,0.042528953216969964,0.03821371914026268,0.036372016996462295,0.03759809350000417,0.03404827232452783,0.03364132764808675,0.03235472346398425,0.03207182977150412,0.031360408517115926,0.027612527654050513,0.029851914950190708,0.027163914884341524,0.030134195785850602,0.028832612803919203,0.029410383061684194,0.5927074044645625
