epoch,main_activation,layer1_block0_activation1,layer1_block0_activation2,layer1_block1_activation1,layer1_block1_activation2,layer2_block0_activation1,layer2_block0_activation2,layer2_block1_activation1,layer2_block1_activation2,layer3_block0_activation1,layer3_block0_activation2,layer3_block1_activation1,layer3_block1_activation2,layer4_block0_activation1,layer4_block0_activation2,layer4_block1_activation1,layer4_block1_activation2,total_time
1,0.037846672277342765,0.02815795739359678,0.027452459550918417,0.024349072314006216,0.02488333618545786,0.02448224683708333,0.025020391521777246,0.02469855320263416,0.0240285276455131,0.023868119148933824,0.024555097882972752,0.026014366000890733,0.024373038297400194,0.023855523336084282,0.023416238341559755,0.024331302093738252,0.026676289307230965,0.4380091913371406
2,0.037062399881951355,0.03319734468501299,0.031803642617578204,0.030025327657448486,0.029684085046198773,0.02768994042689496,0.028756289299022644,0.029293412742938132,0.028437038312884088,0.027871523385352277,0.02815094470700368,0.026036493615940848,0.028415863842089127,0.02542018720265874,0.025158808474488398,0.025052323412308668,0.02646781281726633,0.4885234381270377
3,0.04469794035354193,0.036327761689082104,0.037097395690990256,0.03262590644286668,0.03600034048741168,0.03456388082196738,0.033188493533971464,0.03252343829483428,0.034431931836173886,0.029115710677975352,0.029294978726179675,0.025221651041523574,0.026818314900106572,0.024225089349288572,0.024965787270760282,0.025214570194998003,0.02765855318173132,0.533971744493403
4,0.03334631478770616,0.026987302085345097,0.025359591437464066,0.023919795738889815,0.024054876580200297,0.02513014473258815,0.02411179576623947,0.024029072314659332,0.024447727643270443,0.023279727675377372,0.023790706371135534,0.023776816986897525,0.0249246638089894,0.02366992342186735,0.02210505531526151,0.021533617000789085,0.02230713188925639,0.416774263555937
5,0.0467921020463109,0.04034185526852912,0.040381957463761595,0.03961041700293092,0.03669440010364385,0.03280476596840519,0.035203063753532604,0.03301160843606959,0.032399114938651,0.029152953195722496,0.025284289334841233,0.022648442542537096,0.022362553219291124,0.021548663833713594,0.02054747238537257,0.021417123432013584,0.022266144662144337,0.5224669275874708
6,0.046195608575610406,0.037530893705626754,0.039055319130420686,0.0366666212380725,0.037069548900298614,0.032213719109905524,0.03458008510159685,0.03479584681583529,0.031605310635046756,0.02846733621975526,0.026680919117829268,0.024820765971820404,0.023799080825708013,0.022806672347669907,0.025654468083991966,0.023742910681609462,0.025396970179962352,0.53108207664076
7,0.03842839147261483,0.03583598292650694,0.035435302123585914,0.03268745536420574,0.031160646819687905,0.0302802383067443,0.030682008463810098,0.028379370264233428,0.028593974501053068,0.027867438353875534,0.026658859587413198,0.023993191503463906,0.02392524262850589,0.02334236596869503,0.022456306375642405,0.02315969359169298,0.022510433980719523,0.4853969022324507
8,0.03758624682718135,0.03234505538848487,0.031486434037698074,0.028533106348774536,0.02879135317387099,0.028421446803877964,0.028489123467118183,0.02742624688655772,0.02645964255913141,0.024614400012379,0.02424851060904404,0.02312211067257251,0.02338560004619525,0.02223645955859188,0.021503046777178632,0.022618008512963958,0.02274893622627442,0.4540157279078948
9,0.03873634048281832,0.03284786379242197,0.033506995752612324,0.029608170222491025,0.028398774449337034,0.027817736229205386,0.029049395742092993,0.027818961746673636,0.027030263817373744,0.02352483396596731,0.024354587215930222,0.022720136227918433,0.022793736164160864,0.021544782976877497,0.022678740457334416,0.02343795744484251,0.02262536173567493,0.4584946384237326
10,0.03487584684836738,0.028148425552756227,0.026542366022600773,0.02581657869543167,0.02624040843245197,0.0264700595566884,0.025332970239539097,0.02584674033197634,0.02562784677014706,0.02454508936250622,0.025331472345885443,0.025570587209485313,0.023647114864372192,0.022919421213025107,0.02282587243144975,0.022891914911885212,0.022364800040946996,0.43499751482951515
